id,title,artist,genre,mood,tempo,energy,danceability,acousticness,cover_url
1,Blinding Lights,The Weeknd,Pop,Energetic,171,0.73,0.51,0.0,https://picsum.photos/seed/1/200/200
2,Shape of You,Ed Sheeran,Pop,Happy,96,0.65,0.82,0.58,https://picsum.photos/seed/2/200/200
3,Bohemian Rhapsody,Queen,Rock,Dramatic,72,0.4,0.41,0.27,https://picsum.photos/seed/3/200/200
4,Someone Like You,Adele,Pop,Sad,135,0.33,0.55,0.89,https://picsum.photos/seed/4/200/200
5,Uptown Funk,Mark Ronson,Funk,Happy,115,0.6,0.85,0.01,https://picsum.photos/seed/5/200/200
6,Lose Yourself,Eminem,Hip Hop,Energetic,171,0.74,0.69,0.01,https://picsum.photos/seed/6/200/200
7,Smells Like Teen Spirit,Nirvana,Rock,Energetic,117,0.91,0.5,0.0,https://picsum.photos/seed/7/200/200
8,Billie Jean,Michael Jackson,Pop,Energetic,117,0.65,0.92,0.02,https://picsum.photos/seed/8/200/200
9,Stairway to Heaven,Led Zeppelin,Rock,Chill,82,0.34,0.33,0.58,https://picsum.photos/seed/9/200/200
10,Hotel California,Eagles,Rock,Chill,147,0.5,0.57,0.0,https://picsum.photos/seed/10/200/200
11,Clair de Lune,Claude Debussy,Classical,Chill,60,0.1,0.15,0.99,https://picsum.photos/seed/11/200/200
12,Levels,Avicii,Electronic,Energetic,126,0.88,0.58,0.04,https://picsum.photos/seed/12/200/200
13,Strobe,deadmau5,Electronic,Chill,128,0.6,0.59,0.05,https://picsum.photos/seed/13/200/200
14,Hallelujah,Jeff Buckley,Rock,Sad,97,0.2,0.33,0.92,https://picsum.photos/seed/14/200/200
15,Get Lucky,Daft Punk,Electronic,Happy,116,0.81,0.79,0.04,https://picsum.photos/seed/15/200/200
16,Rolling in the Deep,Adele,Pop,Sad,105,0.76,0.73,0.13,https://picsum.photos/seed/16/200/200
17,Despacito,Luis Fonsi,Pop,Happy,89,0.79,0.65,0.22,https://picsum.photos/seed/17/200/200
18,Sweet Child O' Mine,Guns N' Roses,Rock,Energetic,125,0.87,0.45,0.09,https://picsum.photos/seed/18/200/200
19,Sicko Mode,Travis Scott,Hip Hop,Energetic,155,0.73,0.83,0.01,https://picsum.photos/seed/19/200/200
20,Sunflower,Post Malone,Pop,Happy,90,0.52,0.76,0.55,https://picsum.photos/seed/20/200/200
21,God's Plan,Drake,Hip Hop,Happy,77,0.45,0.75,0.03,https://picsum.photos/seed/21/200/200
22,Nocturne op.9 No.2,Chopin,Classical,Sad,65,0.15,0.2,0.98,https://picsum.photos/seed/22/200/200
23,Titanium,David Guetta,Electronic,Energetic,126,0.85,0.6,0.06,https://picsum.photos/seed/23/200/200
24,Thinking Out Loud,Ed Sheeran,Pop,Chill,79,0.45,0.78,0.47,https://picsum.photos/seed/24/200/200
25,Wonderwall,Oasis,Rock,Chill,174,0.85,0.37,0.16,https://picsum.photos/seed/25/200/200
26,Radioactive,Imagine Dragons,Rock,Energetic,136,0.78,0.44,0.1,https://picsum.photos/seed/26/200/200
27,Take Me to Church,Hozier,Rock,Sad,129,0.66,0.56,0.63,https://picsum.photos/seed/27/200/200
28,Stayin' Alive,Bee Gees,Funk,Happy,104,0.82,0.7,0.03,https://picsum.photos/seed/28/200/200
29,Wake Me Up,Avicii,Electronic,Happy,124,0.78,0.53,0.0,https://picsum.photos/seed/29/200/200
30,Bad Guy,Billie Eilish,Pop,Dramatic,135,0.43,0.7,0.32,https://picsum.photos/seed/30/200/200
31,Track 31 (Sad Electronic),Code Monkeys,Electronic,Sad,64,0.17,0.5,0.34,https://picsum.photos/seed/31/200/200
32,Track 32 (Happy Rock),AI Harmony,Rock,Happy,131,0.72,0.25,0.19,https://picsum.photos/seed/32/200/200
33,Track 33 (Chill Pop),Data Flow,Pop,Chill,62,0.56,0.6,0.6,https://picsum.photos/seed/33/200/200
34,Track 34 (Energetic Funk),The Synthetics,Funk,Energetic,123,0.3,0.7,0.16,https://picsum.photos/seed/34/200/200
35,Track 35 (Happy Pop),Algo Rhythm,Pop,Happy,101,0.6,0.84,0.56,https://picsum.photos/seed/35/200/200
36,Track 36 (Sad Funk),The Synthetics,Funk,Sad,91,0.35,0.24,0.78,https://picsum.photos/seed/36/200/200
37,Track 37 (Dramatic Classical),AI Harmony,Classical,Dramatic,61,0.23,0.69,0.59,https://picsum.photos/seed/37/200/200
38,Track 38 (Dramatic Classical),The Loops,Classical,Dramatic,162,0.33,0.4,0.64,https://picsum.photos/seed/38/200/200
39,Track 39 (Dramatic Classical),Code Monkeys,Classical,Dramatic,179,0.19,0.89,0.82,https://picsum.photos/seed/39/200/200
40,Track 40 (Chill Pop),Algo Rhythm,Pop,Chill,98,0.23,0.45,0.07,https://picsum.photos/seed/40/200/200
41,Track 41 (Energetic Classical),Data Flow,Classical,Energetic,104,0.78,0.83,0.17,https://picsum.photos/seed/41/200/200
42,Track 42 (Happy Hip Hop),Data Flow,Hip Hop,Happy,162,0.65,0.35,0.45,https://picsum.photos/seed/42/200/200
43,Track 43 (Dramatic Pop),Virtual Reality,Pop,Dramatic,106,0.77,0.84,0.74,https://picsum.photos/seed/43/200/200
44,Track 44 (Happy Classical),Binary Stars,Classical,Happy,73,0.59,0.5,0.69,https://picsum.photos/seed/44/200/200
45,Track 45 (Energetic Classical),Virtual Reality,Classical,Energetic,176,0.27,0.48,0.39,https://picsum.photos/seed/45/200/200
46,Track 46 (Dramatic Classical),Cyber Punks,Classical,Dramatic,149,0.26,0.36,0.57,https://picsum.photos/seed/46/200/200
47,Track 47 (Sad Pop),Data Flow,Pop,Sad,83,0.84,0.66,0.52,https://picsum.photos/seed/47/200/200
48,Track 48 (Happy Hip Hop),Binary Stars,Hip Hop,Happy,94,0.52,0.68,0.08,https://picsum.photos/seed/48/200/200
49,Track 49 (Energetic Hip Hop),The Synthetics,Hip Hop,Energetic,99,0.43,0.43,0.27,https://picsum.photos/seed/49/200/200
50,Track 50 (Energetic Rock),Cyber Punks,Rock,Energetic,112,0.21,0.69,0.05,https://picsum.photos/seed/50/200/200
51,Track 51 (Sad Hip Hop),Cyber Punks,Hip Hop,Sad,160,0.3,0.67,0.27,https://picsum.photos/seed/51/200/200
52,Track 52 (Energetic Rock),Cyber Punks,Rock,Energetic,173,0.52,0.59,0.08,https://picsum.photos/seed/52/200/200
53,Track 53 (Happy Funk),Algo Rhythm,Funk,Happy,86,0.78,0.32,0.32,https://picsum.photos/seed/53/200/200
54,Track 54 (Energetic Funk),The Loops,Funk,Energetic,164,0.93,0.43,0.71,https://picsum.photos/seed/54/200/200
55,Track 55 (Happy Rock),The Loops,Rock,Happy,139,0.39,0.63,0.58,https://picsum.photos/seed/55/200/200
56,Track 56 (Sad Classical),Neural Beats,Classical,Sad,83,0.39,0.54,0.22,https://picsum.photos/seed/56/200/200
57,Track 57 (Happy Funk),Virtual Reality,Funk,Happy,74,0.73,0.37,0.69,https://picsum.photos/seed/57/200/200
58,Track 58 (Dramatic Electronic),The Loops,Electronic,Dramatic,140,0.79,0.74,0.7,https://picsum.photos/seed/58/200/200
59,Track 59 (Happy Electronic),The Synthetics,Electronic,Happy,149,0.74,0.63,0.1,https://picsum.photos/seed/59/200/200
60,Track 60 (Chill Classical),The Loops,Classical,Chill,156,0.14,0.21,0.42,https://picsum.photos/seed/60/200/200
61,Track 61 (Happy Electronic),Neural Beats,Electronic,Happy,164,0.46,0.83,0.57,https://picsum.photos/seed/61/200/200
62,Track 62 (Dramatic Hip Hop),AI Harmony,Hip Hop,Dramatic,129,0.12,0.36,0.58,https://picsum.photos/seed/62/200/200
63,Track 63 (Dramatic Hip Hop),Data Flow,Hip Hop,Dramatic,116,0.91,0.61,0.58,https://picsum.photos/seed/63/200/200
64,Track 64 (Chill Hip Hop),AI Harmony,Hip Hop,Chill,175,0.81,0.79,0.28,https://picsum.photos/seed/64/200/200
65,Track 65 (Dramatic Pop),The Loops,Pop,Dramatic,122,0.67,0.87,0.35,https://picsum.photos/seed/65/200/200
66,Track 66 (Happy Electronic),Neural Beats,Electronic,Happy,154,0.68,0.56,0.26,https://picsum.photos/seed/66/200/200
67,Track 67 (Energetic Funk),Code Monkeys,Funk,Energetic,91,0.81,0.83,0.89,https://picsum.photos/seed/67/200/200
68,Track 68 (Dramatic Rock),The Loops,Rock,Dramatic,65,0.45,0.23,0.68,https://picsum.photos/seed/68/200/200
69,Track 69 (Happy Electronic),Code Monkeys,Electronic,Happy,122,0.84,0.44,0.28,https://picsum.photos/seed/69/200/200
70,Track 70 (Happy Electronic),Neural Beats,Electronic,Happy,113,0.25,0.86,0.16,https://picsum.photos/seed/70/200/200
71,Track 71 (Happy Funk),Cyber Punks,Funk,Happy,153,0.68,0.43,0.17,https://picsum.photos/seed/71/200/200
72,Track 72 (Chill Pop),The Synthetics,Pop,Chill,84,0.81,0.21,0.05,https://picsum.photos/seed/72/200/200
73,Track 73 (Sad Classical),Cyber Punks,Classical,Sad,169,0.47,0.53,0.22,https://picsum.photos/seed/73/200/200
74,Track 74 (Chill Electronic),Virtual Reality,Electronic,Chill,159,0.74,0.22,0.53,https://picsum.photos/seed/74/200/200
75,Track 75 (Dramatic Rock),AI Harmony,Rock,Dramatic,105,0.58,0.72,0.8,https://picsum.photos/seed/75/200/200
76,Track 76 (Happy Pop),Virtual Reality,Pop,Happy,147,0.39,0.73,0.24,https://picsum.photos/seed/76/200/200
77,Track 77 (Energetic Hip Hop),Algo Rhythm,Hip Hop,Energetic,148,0.1,0.5,0.78,https://picsum.photos/seed/77/200/200
78,Track 78 (Happy Classical),The Loops,Classical,Happy,179,0.56,0.57,0.74,https://picsum.photos/seed/78/200/200
79,Track 79 (Sad Funk),Binary Stars,Funk,Sad,121,0.52,0.29,0.15,https://picsum.photos/seed/79/200/200
80,Track 80 (Chill Funk),Binary Stars,Funk,Chill,89,0.64,0.76,0.1,https://picsum.photos/seed/80/200/200
81,Track 81 (Chill Rock),Virtual Reality,Rock,Chill,174,0.47,0.31,0.72,https://picsum.photos/seed/81/200/200
82,Track 82 (Dramatic Electronic),The Loops,Electronic,Dramatic,60,0.84,0.56,0.45,https://picsum.photos/seed/82/200/200
83,Track 83 (Sad Electronic),Binary Stars,Electronic,Sad,165,0.66,0.87,0.86,https://picsum.photos/seed/83/200/200
84,Track 84 (Energetic Rock),Neural Beats,Rock,Energetic,66,0.69,0.58,0.23,https://picsum.photos/seed/84/200/200
85,Track 85 (Chill Electronic),Neural Beats,Electronic,Chill,132,0.34,0.89,0.81,https://picsum.photos/seed/85/200/200
86,Track 86 (Chill Funk),Algo Rhythm,Funk,Chill,113,0.36,0.81,0.04,https://picsum.photos/seed/86/200/200
87,Track 87 (Sad Funk),Virtual Reality,Funk,Sad,69,0.55,0.49,0.51,https://picsum.photos/seed/87/200/200
88,Track 88 (Energetic Hip Hop),The Synthetics,Hip Hop,Energetic,72,0.79,0.34,0.17,https://picsum.photos/seed/88/200/200
89,Track 89 (Chill Funk),Code Monkeys,Funk,Chill,72,0.33,0.71,0.36,https://picsum.photos/seed/89/200/200
90,Track 90 (Dramatic Rock),Neural Beats,Rock,Dramatic,174,0.64,0.5,0.67,https://picsum.photos/seed/90/200/200
91,Track 91 (Energetic Pop),Data Flow,Pop,Energetic,138,0.38,0.84,0.85,https://picsum.photos/seed/91/200/200
92,Track 92 (Happy Rock),The Loops,Rock,Happy,120,0.37,0.67,0.33,https://picsum.photos/seed/92/200/200
93,Track 93 (Energetic Pop),AI Harmony,Pop,Energetic,123,0.48,0.45,0.43,https://picsum.photos/seed/93/200/200
94,Track 94 (Happy Classical),Neural Beats,Classical,Happy,115,0.94,0.75,0.87,https://picsum.photos/seed/94/200/200
95,Track 95 (Chill Hip Hop),The Synthetics,Hip Hop,Chill,154,0.3,0.22,0.34,https://picsum.photos/seed/95/200/200
96,Track 96 (Chill Classical),The Loops,Classical,Chill,161,0.22,0.29,0.72,https://picsum.photos/seed/96/200/200
97,Track 97 (Dramatic Hip Hop),Binary Stars,Hip Hop,Dramatic,154,0.52,0.37,0.65,https://picsum.photos/seed/97/200/200
98,Track 98 (Happy Pop),Code Monkeys,Pop,Happy,155,0.54,0.38,0.88,https://picsum.photos/seed/98/200/200
99,Track 99 (Energetic Pop),Virtual Reality,Pop,Energetic,163,0.91,0.69,0.52,https://picsum.photos/seed/99/200/200
100,Track 100 (Sad Classical),Data Flow,Classical,Sad,101,0.24,0.89,0.86,https://picsum.photos/seed/100/200/200
